partner_name,site_name,site_phone,web_addr,address
Reliance Infosystems,RELIANCE INFOSYSTEMS,+23416282729,https://www.reliance.systems,"OMORENRE JOHNSON 1B, LEKKI PHASE 1, NIGERIA"
RESOURCERY PLC,RESOURCERY PLC,+2348109928230,https://www.resourcery.com,"17/19 IDOWU TAYLOR STREET, LAGOS, NIGERIA"
RIFF TECHNOLOGIES LIMITED,RIFF TECHNOLOGIES LTD,+2348064753298,https://www.rifftech.com.ng,"LAGOS, WESTWOOD ESTATE BADORE AJAH 7, AJAH LEKKI, NIGERIA"
Rook Technologies LTD,ROOK TECHNOLOGIES LTD,+2348034050908,,"112 FUNSHO WILLIAMS,SURULERE, LAGOS, NIGERIA"
SIGNAL ALLIANCE TECHNOLOGY HOLDING,SIGNAL ALLIANCE TECHNOLOGY HOLDING,+23414619418,https://www.sathng.com,"MARINA 57, LAGOS, NIGERIA"
SKYMAX INTGERATED NETWORK LTD,SKYMAX INTGERATED NETWORK LTD,+2348101834726,https://www.skymaxnig.net,"3/1 2ND FLOOR SALIMA HOUSE, JIMETA YOLA, YOLA, NIGERIA"
Soft Intelligent Machines Limited,SOFT INTELLIGENT MACHINES LTD,+2348167494512,https://www.softintelligentmachines.com,"3 Gbajobi Street Beside Water Crest Hotel, Balogun B/Stop, Obafemi Awolowo Way., YABA, Ikeja, NIGERIA"
SOUTHGATE TECHNOLOGIES LIMITED,SOUTHGATE TECHNOLOGIES LIMITED,+23416290187,https://www.southgtech.com,"REMI FANI-KAYODE AVENUE 17, LAGOS, NIGERIA"
Steelcon Technologies Limited,Steelcon Technologies Limited,+2348093162800,,"75B BABINGTON ASHAYE STREET, OMOLE PHASE 1, IKEJA, NIGERIA"
STERLING TECHNOLOGY NIGERIA LTD,STERLING TECHNOLOGY NIGERIA LTD,+2347058011780,https://www.stnl.co,"27 A ALHAJI KOLA OSENI STREET, OFF TOWN PLANNING WAY, LAGOS, NIGERIA"
Sunnet Systems and Datacom Services Ltd.,Sunnet Systems and Datacom Services Ltd.,+2348101318958,,"14, Balarabe Musa Crescent, Off Samuel Manuwa Street, Lagos, NIGERIA"
SYSBAY LIMITED,SYSBAY LIMITED,+2348060348971,https://www.sysbayng.com,"1619 DANMOLE STREET, OFF IDEJO STREET, VICTORIA ISLAND, LAGOS, NIGERIA"
TABCOD ADVANCED INTERNATIONAL SERVICES LTD,TABCOD ADVANCED INTERNATIONAL SERVICES LTD,+2348105855966,https://tabcod.com,"46B GLOVER ROAD, IKOYI, LAGOS, NIGERIA"
TASCO TECHNOLOGIES LTD,TASCO TECHNOLOGIES LTD,+2348038270729,https://www.tasco-ng.com,"213B MURI OKUNOLA STREET , VICTORIA ISLAND, LAGOS, NIGERIA"
TASK SYSTEMS LIMITED,TASK SYSTEMS LIMITED,+2348129851242,https://www.tasksystems.com,"5 REDEMPTION CRESCENT GBAGADA, LAGOS, NIGERIA"
TAVIA TECHNOLOGIES LTD,TAVIA TECHNOLOGIES LTD,+2348160000924,https://www.taviatech.com.ng,"WING B, 2ND FLOOR, MOTORWAYS CENTRE, IKEJA, NIGERIA"
TBO Integrated Services Limited,TBO Integrated Services Limited,+2348033938674,https://tboisl.com,"PROPERTY GATE CENTER, 2 ROCK DRIVE, CBD, LEKKI PHASE 1, LAGOS, NIGERIA"
TDS Hitech Solutions Limited,TDS HITECH SOLUTIONS LTD,+2348150375726,https://www.tdstechng.com,"19A, COMMUNITY ROAD, OFF ALLEN AVENUE,, OGUNDANA, IKEJA, NIGERIA"
TECH DATA,TECH DATA CONSULTING LTD,+2348037911203,https://techdata-consulting.com.ng/,"PLOT 13 BLOCK 81 AMUWO ODOFIN INDUSTRIAL LAYOUT OKOTA ROAD LAGOS NIGERIA, ISOLO, NIGERIA"
Tech Mahindra Ltd,TECH MAHINDRA LTD,000,https://www.techmahindra.com/,"3RD TO 6TH FLOOR, OPIC TOWERS, OKE ILEWO, ABEOKUTA, OGUN STATE, NIGERIA"
TECHNOLOGY ADVANTAGE NETWORK LTD,TECHNOLOGY ADVANTAGE NETWORK LTD,+2348127186505,https://www.technologyadvantage.ng,"27 OYEWOLE STREET, LAGOS, NIGERIA"
